episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
65,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.922608388086872,47.67160752614339,0.6,0.09845216776173744,61.85323636477835,1838.2569732666016,92.01561507882232,383.0,389.69461488723755,103,72,189,36,180.0,113.0,90.0,383.0,1.0,True,True
66,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,6.0724964152398595,45.38990183437572,0.68,0.12144992830479719,61.220959974088075,1689.759404182434,84.03159881464838,391.0,448.1284976005554,79,89,195,37,179.0,123.0,89.0,391.0,1.0,True,True
67,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.702201675165097,52.5383215183165,0.82,0.15404403350330192,62.81729870485491,1861.7699565887451,84.46821289167146,404.0,395.31338357925415,87,79,168,66,175.0,126.0,103.0,404.0,0.0,True,False
68,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.0442187868407835,48.78966381675318,0.76,0.14088437573681567,61.89028934984871,1776.9596242904663,86.9544246549111,388.0,421.30021047592163,83,79,168,70,163.0,119.0,106.0,388.0,1.0,True,True
69,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.485983134136312,43.46068548544859,0.78,0.14971966268272624,56.12659706537695,1564.8202877044678,87.53557101253011,369.0,392.4869966506958,77,71,211,41,169.0,128.0,72.0,369.0,1.0,True,True
70,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,6.6063801570034775,45.26844496197171,0.72,0.13212760314006955,61.320367358886415,1644.5253086090088,90.92585974768063,396.0,467.2836003303528,85,78,203,34,195.0,124.0,77.0,396.0,1.0,True,True
71,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,8.26852174023016,44.80001531328474,0.84,0.1653704348046032,54.43123480870534,1573.2635202407837,88.24056158051529,365.0,347.52882862091064,88,62,212,38,163.0,127.0,75.0,365.0,0.0,True,False
72,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,8.113559453139324,41.944108172160824,0.82,0.16227118906278648,52.959060717078856,1469.9110960960388,84.52721248319986,325.0,384.2573642730713,76,84,201,39,168.0,97.0,60.0,325.0,1.0,True,True
73,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.571636388148886,48.76563968658447,0.8,0.15143272776297773,60.16025405864544,1853.470046043396,80.83250521346126,370.0,351.85507583618164,85,81,168,66,161.0,113.0,96.0,370.0,0.0,True,False
74,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.4813713504099235,44.39362031985552,0.78,0.14962742700819848,57.30228219139789,1623.156017780304,91.6581486541381,360.0,395.14997005462646,80,85,199,36,177.0,97.0,86.0,360.0,0.0,True,False
75,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,8.059996611753535,43.992990493774414,0.82,0.1611999322350707,54.17531927226901,1578.1686120033264,83.29591066735964,291.0,378.1507203578949,71,86,202,41,147.0,87.0,57.0,291.0,1.0,True,True
76,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.114964713474935,46.20375151383249,0.76,0.1422992942694987,58.10614761593005,1751.7192497253418,89.6623441059813,304.0,379.9628930091858,83,77,195,45,159.0,81.0,64.0,304.0,1.0,True,True
77,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.192403226179777,43.828175594932155,0.76,0.14384806452359553,54.5448582874917,1585.7218379974365,87.65056821751074,290.0,381.93525409698486,74,73,207,46,150.0,82.0,58.0,290.0,1.0,True,True
78,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,8.918828247481349,42.524745507673785,0.88,0.17837656494962698,52.2397157911628,1516.8921570777893,86.97024128886795,309.0,349.56169509887695,62,80,214,44,166.0,81.0,62.0,309.0,0.0,True,False
79,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.736588592359462,44.515992879867554,0.8,0.15473177184718925,54.8596770252952,1620.9491081237793,85.88252653102576,280.0,378.0761094093323,64,85,208,43,160.0,70.0,50.0,280.0,1.0,True,True
80,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.79642907348641,49.88098693475491,0.82,0.15592858146972818,60.46547575504707,1837.1536931991577,86.20451212979499,321.0,389.457790851593,55,85,189,71,151.0,78.0,92.0,321.0,0.0,True,False
81,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.550231251730795,42.341293237148186,0.78,0.1510046250346159,53.93960226622014,1564.9421501159668,90.65763784637713,270.0,385.6901626586914,70,64,221,45,146.0,65.0,59.0,270.0,1.0,True,True
82,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,8.825689811702027,45.48373517123136,0.88,0.17651379623404054,55.729884525428254,1669.236626625061,77.82706316830908,286.0,376.71526861190796,52,99,176,73,144.0,55.0,87.0,286.0,0.0,True,False
83,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.519587252366616,42.95872869247045,0.78,0.15039174504733233,55.26067816548081,1646.3464488983154,87.99128994289431,274.0,377.3480839729309,67,83,204,46,151.0,74.0,49.0,274.0,1.0,True,True
84,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,9.23144701341039,41.98486887613932,0.9,0.1846289402682078,50.6187608032669,1497.7675218582153,85.42056709815971,247.0,350.3749752044678,66,81,205,48,144.0,65.0,38.0,247.0,0.0,True,False
85,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.012193673367904,49.90145959352192,0.76,0.14024387346735806,61.38642587325904,1924.0127420425415,87.08292836601586,293.0,382.6128120422363,52,109,169,70,162.0,56.0,75.0,293.0,1.0,True,True
86,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.1376699734267826,52.312773895263675,0.7,0.12275339946853565,66.07456665647248,2093.3945350646973,85.97212622190955,302.0,411.1808362007141,69,90,165,76,147.0,68.0,87.0,302.0,1.0,True,True
