time,nof_ue,dl_brate,ul_brate,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file,bs_lambda_total
1602351608378,9,611616.0,42240.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,653856.0
1602351608628,9,468224.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,468224.0
1602351608878,9,502016.0,29600.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,531616.0
1602351609128,9,490249.0,56514.054688,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,546763.054688
1602351609378,9,445088.0,86400.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,531488.0
1602351609628,9,342976.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,342976.0
1602351609878,9,527456.0,28192.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,555648.0
1602351610128,9,303200.0,127200.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,430400.0
1602351610378,9,147251.0,46693.226562,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,193944.226562
1602351610628,9,377824.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,377824.0
