dataset_group,scenario,training_id,experiment_id,imsi,num_records,min_time,max_time,unique_base_station_count,base_stations_observed,unique_rnti_count,rnti_values,rnti_change_count,unique_slice_id_count,slice_ids_observed,appears_in_more_than_one_base_station,sequential_multi_bs_timestamps,same_timestamp_multi_bs_count,ambiguous_multi_bs_observation
slice_mixed,rome_slow_close,tr0,exp4,1010123456027,399,1602431672220.0,1602431993378.0,2,bs1;bs3,2,125;78,0,1,2,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456013,23,1602431673646.0,1602431679146.0,1,bs2,1,78,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456014,620,1602431672146.0,1602431826921.0,1,bs2,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456015,512,1602431671896.0,1602431799646.0,1,bs2,1,76,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456016,621,1602431671896.0,1602431826921.0,1,bs2,1,72,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456017,321,1602431746646.0,1602431826646.0,1,bs2,1,92,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456018,619,1602431672396.0,1602431826921.0,1,bs2,1,73,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456019,623,1602431671396.0,1602431826921.0,1,bs2,1,71,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456020,337,1602431682646.0,1602431766646.0,1,bs2,1,79,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456021,619,1602431672146.0,1602431826646.0,1,bs2,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456022,18,1602431672896.0,1602431677146.0,1,bs2,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456026,495,1602431672970.0,1602431828396.0,2,bs2;bs3,2,79;96,0,1,1,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456024,384,1602431671720.0,1602431767470.0,1,bs3,1,75,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456025,250,1602431672470.0,1602431734720.0,1,bs3,1,81,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456028,478,1602431647720.0,1602431766970.0,1,bs3,1,70,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456029,385,1602431671720.0,1602431767720.0,1,bs3,1,80,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456030,385,1602431671470.0,1602431767470.0,1,bs3,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456031,1624,1602431682720.0,1602432138470.0,1,bs3,2,82;85,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456032,158,1602431672220.0,1602431711470.0,1,bs3,1,77,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456033,154,1602431672720.0,1602431710970.0,1,bs3,1,74,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456035,1910,1602431673608.0,1602432150858.0,1,bs4,1,80,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456036,1917,1602431671858.0,1602432150858.0,1,bs4,1,78,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456037,816,1602431672108.0,1602431876358.0,1,bs4,2,120;79,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456038,24,1602431671608.0,1602431677358.0,1,bs4,1,76,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456039,1915,1602431672358.0,1602432150858.0,1,bs4,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456040,246,1602431673608.0,1602431734858.0,1,bs4,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456042,1918,1602431671608.0,1602432150858.0,1,bs4,1,71,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456043,1642,1602431673358.0,1602432084358.0,1,bs4,2,122;81,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456044,335,1602431648608.0,1602431732108.0,1,bs4,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456002,1821,1602445406860.0,1602445861861.0,1,bs1,1,82,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456003,1825,1602445405861.0,1602445861861.0,1,bs1,1,70,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456004,245,1602445406360.0,1602445467360.0,1,bs1,1,83,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456005,1822,1602445406611.0,1602445861861.0,1,bs1,1,74,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456006,1193,1602445406860.0,1602445704861.0,1,bs1,1,71,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456007,1819,1602445406611.0,1602445861861.0,1,bs1,2,87;92,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456008,1808,1602445406360.0,1602445858111.0,1,bs1,1,81,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456009,1512,1602445409361.0,1602445787111.0,1,bs1,1,91,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456010,1132,1602445406611.0,1602445690110.0,1,bs1,2,73;94,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456011,1820,1602445407111.0,1602445861861.0,1,bs1,1,89,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456013,70,1602445407039.0,1602445424290.0,1,bs2,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456014,1834,1602445407039.0,1602445866039.0,1,bs2,2,166;82,1,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456015,1838,1602445406789.0,1602445866039.0,1,bs2,1,81,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456016,1840,1602445406289.0,1602445866039.0,1,bs2,1,76,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456017,1811,1602445406539.0,1602445859039.0,1,bs2,1,77,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456018,1842,1602445405789.0,1602445866039.0,1,bs2,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456019,1838,1602445406789.0,1602445866039.0,1,bs2,1,73,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456020,1841,1602445406040.0,1602445866039.0,1,bs2,1,71,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456021,1840,1602445406289.0,1602445866039.0,1,bs2,1,80,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456022,254,1602445406789.0,1602445470039.0,1,bs2,1,79,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456024,1908,1602445406300.0,1602445883050.0,1,bs3,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456025,43,1602445407050.0,1602445417550.0,1,bs3,1,83,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456026,90,1602445440300.0,1602445462550.0,1,bs3,1,104,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456027,905,1602445406050.0,1602445632050.0,1,bs3,1,79,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456028,1529,1602445406800.0,1602445788800.0,1,bs3,1,86,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456029,1907,1602445406550.0,1602445883050.0,1,bs3,1,84,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456030,1907,1602445406550.0,1602445883050.0,1,bs3,1,78,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456031,1551,1602445409300.0,1602445883050.0,1,bs3,6,106;111;115;118;90;93,5,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456032,1316,1602445406800.0,1602445735550.0,1,bs3,1,82,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456033,1905,1602445407050.0,1602445883050.0,1,bs3,1,87,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456035,253,1602445407960.0,1602445470960.0,1,bs4,1,82,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456036,261,1602445406210.0,1602445471210.0,1,bs4,1,83,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456037,261,1602445406210.0,1602445471210.0,1,bs4,1,76,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp5,1010123456038,260,1602445406460.0,1602445471210.0,1,bs4,1,73,0,1,1,False,False,0,False
