episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
102,small,small_balanced_train_a,train,strict_full,-1.4375,inf,0.0,-0.2875,63.214570920655284,249.0917739868164,6.874421323094517,10.0,25.053329586982727,13,17,5,5,6.0,4.0,0.0,10.0,0.0,True,False
103,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,76.79050760712244,253.24496269226074,8.585920726423337,7.0,57.56082725524902,14,15,7,4,6.0,0.0,1.0,7.0,0.0,True,False
104,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,55.940796858216444,225.02891540527344,7.929138989263401,5.0,20.87296485900879,15,15,5,5,3.0,2.0,0.0,5.0,0.0,True,False
105,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,51.027152020778324,201.9264965057373,5.744467639826052,5.0,21.23239779472351,11,15,9,5,4.0,1.0,0.0,5.0,0.0,True,False
106,small,small_balanced_train_a,train,strict_full,-1.375,inf,0.0,-0.275,56.6833302156831,208.10064506530762,7.369420251846872,8.0,29.9732928276062,10,16,10,4,4.0,2.0,2.0,8.0,1.0,True,True
107,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,79.6241243448986,266.8222198486328,8.006765238744764,13.0,55.14581775665283,11,16,9,4,7.0,3.0,3.0,13.0,1.0,True,True
108,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,75.25077422661737,234.69524383544922,10.097855030486732,9.0,61.23038578033447,12,16,10,2,6.0,2.0,1.0,9.0,1.0,True,True
109,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,79.46388922182453,265.60391998291016,8.402383778495157,10.0,56.65657138824463,16,14,6,4,6.0,2.0,2.0,10.0,0.0,True,False
110,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,71.71392136311121,258.9053497314453,10.393956363132968,8.0,40.63514971733093,15,15,8,2,6.0,0.0,2.0,8.0,1.0,True,True
111,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,65.20501793926184,247.31120681762695,7.974545578572341,7.0,31.86966848373413,12,16,7,5,4.0,2.0,1.0,7.0,0.0,True,False
112,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,62.85910576184436,240.34258651733398,6.84373263727054,8.0,29.55460476875305,10,15,10,5,4.0,2.0,2.0,8.0,0.0,True,False
113,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,58.26713810480993,225.6303539276123,7.201429247423075,2.0,28.251953840255737,10,15,10,5,0.0,2.0,0.0,2.0,1.0,True,True
